,,,,,,,,,,,,,,Close -Velocity (m/s) :,3.92,Close -Velocity (m/s) :,3.88,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,8,Open -Velocity (m/s) :,7.97,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0
,,,,,,,,,,,,,,TR1,,TR1,,TR2,,TR2,,TR5,,TR6,
,,,,,,,,,,,,,,BBreak1,,BBreak2,,NA,,NA,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
4.418,0.007,0,0.044,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1819.78,0
4.418,0,0,0.044,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1849.08,0
4.433,0.007,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1840.29,0
4.433,0,0,0.066,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1869.6,0
4.455,0.015,0.007,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1859.83,0
4.426,0.007,0,0.059,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1819.78,0
4.418,0,0,0.051,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1849.08,0
4.426,0,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1849.08,0
4.418,0.007,0,0.051,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1859.83,0
4.418,0,0,0.051,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1849.08,0
4.418,0.007,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1830.53,0
4.433,0.007,0,0.066,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1840.29,0
4.433,0.007,0,0.059,0,0, ,0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1838.34,0
4.426,0.007,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1849.08,0
4.418,0,0,0.066,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1869.6,0
4.418,0,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1829.55,0
4.418,0,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1819.78,0
4.396,0,0,0.044,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1858.85,0
4.433,0.007,0,0.059,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1829.55,0
4.426,0.015,0,0.066,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1849.08,0
4.433,0,0,0.066,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1848.11,0
4.426,0.007,0.007,0.051,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1809.04,0
4.411,0,0,0.066,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1809.04,0
4.418,0.007,0,0.044,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1830.53,0
4.411,0,0,0.051,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1859.83,0
4.426,0.015,0.007,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1819.78,0
4.433,0.022,0,0.066,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1858.85,0
4.44,0.022,0,0.066,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1829.55,0
4.433,0.015,0.007,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.07,4000,0,1838.34,0
4.411,0.007,0,0.066,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1817.83,0
4.411,0.007,0,0.044,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1849.08,0
4.433,0,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1819.78,0
4.418,0.007,0,0.059,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1840.29,0
4.44,0.015,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1819.78,0
4.426,0.015,0,0.073,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1829.55,0
4.44,0.007,0,0.066,0,0, ,0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1809.04,0
4.418,0,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1848.11,0
4.411,0,0,0.051,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1800.24,0
4.426,0,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1840.29,0
4.411,0,0,0.044,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1840.29,0
4.426,0.007,0,0.066,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1830.53,0
4.418,0.007,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1840.29,0
4.426,0.007,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1829.55,0
4.411,0.015,0,0.044,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1840.29,0
4.404,0,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1829.55,0
4.411,0.007,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1819.78,0
4.411,0.007,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1859.83,0
4.426,0.007,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1859.83,0
4.426,0.007,0,0.066,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1830.53,0
4.433,0.022,0,0.059,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1840.29,0
4.426,0.007,0,0.066,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1869.6,0
4.418,0.007,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1849.08,0
4.411,0,0,0.051,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1880.34,0
4.418,0.007,0,0.051,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1859.83,0
4.418,0,0,0.051,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1840.29,0
4.433,0.007,0,0.059,0,0, ,0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1859.83,0
4.44,0,0,0.066,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1869.6,0
4.433,0.022,0.007,0.066,0.007,0, ,0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1859.83,0
4.433,0.007,0,0.066,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1849.08,0
4.418,0.007,0,0.059,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1878.39,0
4.426,0.007,0,0.051,0,0, ,-0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1880.34,0
4.433,0,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1851.04,0
4.433,0.007,0,0.073,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1910.62,0
4.44,0.022,0.007,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1859.83,0
4.44,0,0,0.066,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1859.83,0
4.433,0.022,0.007,0.066,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1859.83,0
4.433,0,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1869.6,0
4.426,0,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1851.04,0
4.426,0,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1899.88,0
4.426,0,0,0.051,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1880.34,0
4.455,0,0.007,0.051,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1870.57,0
4.44,0,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1870.57,0
4.433,0.015,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1870.57,0
4.44,0,0.007,0.051,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1859.83,0
4.418,0.007,0,0.051,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1859.83,0
4.426,0,0,0.044,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1880.34,0
4.418,0,0,0.044,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1900.85,0
4.433,0,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1870.57,0
4.44,0.007,0,0.073,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1880.34,0
4.433,0.015,0,0.059,0,0, ,0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1859.83,0
4.426,0.007,0.007,0.066,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1869.6,0
4.426,0.007,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1869.6,0
4.418,0,0,0.051,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1880.34,0
4.426,0,0,0.051,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1909.65,0
4.426,0.015,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1890.11,0
4.426,0.007,0,0.059,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1890.11,0
4.433,0.007,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1880.34,0
4.433,0.015,0,0.073,0,0, ,0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1880.34,0
4.426,0,0,0.066,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1880.34,0
4.426,0.007,0,0.044,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1851.04,0
4.426,0.007,0,0.051,0,0, ,0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1880.34,0
4.433,0,0,0.066,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1890.11,0
4.426,0.007,0,0.059,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1870.57,0
4.433,0.007,0,0.066,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1899.88,0
4.433,0.022,0,0.059,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1880.34,0
4.44,0.022,0,0.066,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1880.34,0
4.433,0.015,0,0.044,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1880.34,0
4.433,0.007,0,0.044,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1890.11,0
4.418,0.007,0,0.044,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1870.57,0
4.433,0.007,0,0.051,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1890.11,0
4.433,0.015,0,0.059,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1930.16,0
4.44,0.015,0,0.066,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1889.13,0
4.44,0.022,0,0.081,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1880.34,0
4.433,0,0,0.051,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1859.83,0
4.426,0.007,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1890.11,0
4.433,0,0,0.059,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1900.85,0
4.426,0.007,0,0.051,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1900.85,0
4.44,0,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.26,4000,0,1900.85,0
4.44,0.015,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1920.39,0
4.44,0.022,0.007,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1859.83,0
4.418,0.015,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1878.39,0
4.418,0,0,0.044,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1880.34,0
4.418,0.007,0,0.066,0,0, ,0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1889.13,0
4.418,0,0,0.051,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1880.34,0
4.426,0.007,0,0.066,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1900.85,0
4.426,0.022,0,0.051,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1870.57,0
4.426,0.015,0,0.073,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1859.83,0
4.426,0.007,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1899.88,0
4.426,0.007,0,0.059,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1870.57,0
4.404,0.007,0,0.037,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1899.88,0
4.411,0,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1880.34,0
4.411,0,0,0.059,0,0, ,0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1890.11,0
4.418,0,0,0.066,0,0, ,0.28,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1910.62,0
4.418,0.007,0,0.066,0,0, ,0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1899.88,0
4.411,0.007,0,0.059,0,0, ,0.28,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1899.88,0
4.426,0.007,0,0.073,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1859.83,0
4.396,0,0,0.051,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1910.62,0
4.396,0,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1870.57,0
4.389,0,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1870.57,0
4.411,0,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1861.78,0
4.411,0.007,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1870.57,0
4.411,0.007,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1870.57,0
4.418,0.015,0.007,0.066,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1880.34,0
4.404,0,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1899.88,0
4.411,0.007,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1870.57,0
4.404,0,0,0.029,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1899.88,0
4.411,0,0,0.073,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1910.62,0
4.411,0.007,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1890.11,0
4.418,0.007,0,0.073,0,0, ,0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1851.04,0
4.411,0.015,0,0.066,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1880.34,0
4.411,0,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1880.34,0
4.411,0,0,0.051,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.22,4000,0,1880.34,0
4.418,0,0,0.066,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1870.57,0
4.404,0,0,0.044,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1861.78,0
4.411,0.015,0.015,0.059,0,0, ,0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1849.08,0
4.411,0.015,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1889.13,0
4.411,0.022,0.007,0.051,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1889.13,0
4.411,0,0.007,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1840.29,0
4.411,0.015,0,0.059,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1898.9,0
4.396,0,0,0.044,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1859.83,0
4.411,0.007,0,0.066,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1880.34,0
4.396,0,0,0.051,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1870.57,0
4.411,0.015,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1880.34,0
4.418,0.007,0,0.073,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1840.29,0
4.418,0.007,0,0.059,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1830.53,0
4.404,0.007,0,0.073,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1849.08,0
4.404,0.007,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1849.08,0
4.404,0.007,0,0.051,0,0, ,0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1878.39,0
4.404,0.007,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1849.08,0
4.396,0,0,0.059,0,0.007, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1880.34,0
4.418,0.007,0,0.066,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1830.53,0
4.411,0.022,0,0.066,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1849.08,0
4.411,0.007,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1829.55,0
4.404,0,0,0.044,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1851.04,0
4.396,0.007,0,0.059,0,0, ,0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.18,4000,0,1819.78,0
4.396,0,0,0.051,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1869.6,0
4.404,0.007,0,0.059,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1869.6,0
4.411,0,0,0.051,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1849.08,0
4.426,0.015,0,0.066,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1849.08,0
4.418,0.015,0.007,0.066,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1858.85,0
4.404,0.007,0,0.066,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.07,4000,0,1869.6,0
4.404,0.015,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1829.55,0
4.404,0.007,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1819.78,0
4.411,0.007,0,0.066,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1830.53,0
4.404,0.007,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1869.6,0
4.411,0.007,0,0.051,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1849.08,0
4.411,0,0.007,0.066,0,0, ,0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.07,4000,0,1817.83,0
4.411,0.015,0,0.059,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1858.85,0
4.396,0,0,0.044,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.07,4000,0,1838.34,0
4.404,0,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1858.85,0
4.389,0,0,0.051,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1819.78,0
4.404,0.007,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1830.53,0
4.426,0.015,0.007,0.059,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1840.29,0
4.411,0.015,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1840.29,0
4.418,0.015,0.015,0.066,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1809.04,0
4.411,0.007,0,0.059,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1840.29,0
4.396,0.007,0,0.044,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.07,4000,0,1829.55,0
4.389,0,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1809.04,0
4.396,0,0,0.051,0,0, ,0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.15,4000,0,1878.39,0
4.404,0.007,0,0.051,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1858.85,0
4.426,0.007,0,0.059,0,0, ,-0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.07,4000,0,1838.34,0
4.418,0.022,0,0.066,0,0, ,0.2,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.07,4000,0,1858.85,0
4.396,0.007,0,0.044,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.07,4000,0,1838.34,0
4.396,0,0,0.059,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1838.34,0
4.411,0,0,0.044,0,0, ,0.04,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1819.78,0
4.389,0,0,0.051,0,0, ,-0.12,0,0,0,0,0,,4000,0,4000,0,0,0,4000,20.11,4000,0,1819.78,0
