,,,,,,,,,,,,,,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,3.6,Close -Velocity (m/s) :,3.58,Close -Velocity (m/s) :,0,Close -Velocity (m/s) :,0
,,,,,,,,,,,,,,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,6.31,Open -Velocity (m/s) :,6.28,Open -Velocity (m/s) :,0,Open -Velocity (m/s) :,0
,,,,,,,,,,,,,,TR2,,TR2,,TR4,,TR4,,TR2,,TR2,
,,,,,,,,,,,,,,NA,,NA,,BBreak1,,BBreak2,,NA,,NA,
Coil Current C1 (A),Coil Current C2 (A),Coil Current C3 (A),Coil Current C4 (A),Coil Current C5 (A),Coil Current C6 (A),,Contact Travel T1 (mm),Contact Travel T2 (mm),Contact Travel T3 (mm),Contact Travel T4 (mm),Contact Travel T5 (mm),Contact Travel T6 (mm),,DCRM Res CH1 in uOhm,DCRM Current CH1 in Amp,DCRM Res CH2 in uOhm,DCRM Current CH2 in Amp,DCRM Res CH3 in uOhm,DCRM Current CH3 in Amp,DCRM Res CH4 in uOhm,DCRM Current CH4 in Amp,DCRM Res CH5 in uOhm,DCRM Current CH5 in Amp,DCRM Res CH6 in uOhm,DCRM Current CH6 in Amp
1.509,1.524,1.414,0.044,0,0, ,0,0,0,-0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.539,1.436,0.044,0,0, ,0,0,0,0,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.539,1.443,0.059,0,0, ,0,0,0,-0.16,0,0,,4000,31.61,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.546,1.451,0.059,0,0, ,0,0,0,0,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.531,1.443,0.051,0,0, ,0,0,0,0.08,0,0,,4000,31.61,4000,0,4000,0,4000,0,0,0,0,0
1.517,1.531,1.429,0.051,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.531,1.429,0.059,0,0, ,0,0,0,-0.16,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.539,1.436,0.037,0,0, ,0,0,0,-0.16,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.553,1.465,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.561,1.473,0.059,0,0, ,0,0,0,0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.553,1.458,0.051,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.553,1.465,0.051,0,0, ,0,0,0,-0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.553,1.473,0.044,0,0, ,0,0,0,-0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.546,1.458,0.051,0,0, ,0,0,0,0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.568,1.553,1.465,0.044,0,0, ,0,0,0,0,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.553,1.48,0.051,0,0, ,0,0,0,0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.561,1.473,0.051,0,0, ,0,0,0,0,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.546,1.465,0.044,0,0, ,0,0,0,0.16,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.568,1.473,0.059,0,0, ,0,0,0,0,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.553,1.458,0.051,0,0, ,0,0,0,-0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.568,1.583,1.487,0.029,0,0, ,0,0,0,0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.561,1.546,1.451,0.044,0,0, ,0,0,0,0,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.568,1.568,1.487,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.575,1.568,1.48,0.037,0,0, ,0,0,0,0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.553,1.465,0.044,0,0, ,0,0,0,0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.568,1.575,1.48,0.044,0,0, ,0,0,0,-0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.575,1.575,1.48,0.029,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.561,1.561,1.451,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.575,1.583,1.48,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.575,1.575,1.48,0.037,0,0, ,0,0,0,0,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.553,1.443,0.044,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.575,1.575,1.473,0.037,0,0, ,0,0,0,0,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.553,1.473,0.037,0,0, ,0,0,0,0,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.568,1.465,0.044,0,0, ,0,0,0,0,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.561,1.473,0.044,0,0, ,0,0,0,-0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.561,1.568,1.473,0.037,0,0, ,0,0,0,-0.16,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.561,1.568,1.465,0.037,0,0, ,0,0,0,-0.16,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.561,1.575,1.48,0.037,0,0, ,0,0,0,0,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.561,1.539,1.451,0.051,0,0, ,0,0,0,-0.16,0,0,,4000,31.47,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.553,1.465,0.037,0,0, ,0,0,0,-0.16,0,0,,4000,31.47,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.546,1.458,0.044,0,0, ,0,0,0,-0.08,0,0,,4000,31.47,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.553,1.458,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.561,1.568,1.48,0.044,0,0, ,0,0,0,-0.16,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.561,1.546,1.458,0.059,0,0, ,0,0,0,0,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.531,1.436,0.051,0,0, ,0,0,0,-0.24,0,0,,4000,31.47,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.553,1.465,0.044,0,0, ,0,0,0,-0.16,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.539,1.443,0.051,0.007,0, ,0,0,0,-0.32,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.553,1.451,0.051,0.007,0, ,0,0,0,-0.16,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.561,1.473,0.044,0,0, ,0,0,0,-0.32,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.546,1.451,0.051,0,0, ,0,0,0,-0.08,0,0,,4000,31.47,4000,0,4000,0,4000,0,0,0,0,0
1.517,1.553,1.443,0.059,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.539,1.436,0.044,0,0, ,0,0,0,-0.08,0,0,,4000,31.47,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.531,1.421,0.051,0,0, ,0,0,0,-0.24,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.539,1.429,0.044,0,0, ,0,0,0,-0.16,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.539,1.429,0.044,0,0, ,0,0,0,-0.24,0,0,,4000,31.43,4000,0,4000,0,4000,0,0,0,0,0
1.509,1.531,1.429,0.051,0,0, ,0,0,0,-0.16,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.553,1.458,0.059,0,0, ,0,0,0,-0.16,0,0,,4000,31.47,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.524,1.421,0.044,0,0, ,0,0,0,0,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.531,1.414,0.051,0,0, ,0,0,0,-0.24,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.546,1.421,0.051,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.509,1.539,1.429,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.509,1.531,1.414,0.044,0,0, ,0,0,0,-0.08,0,0,,4000,31.47,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.553,1.465,0.044,0,0, ,0,0,0,-0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.546,1.458,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.553,1.465,0.044,0,0, ,0,0,0,0,0,0,,4000,31.47,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.561,1.465,0.037,0,0, ,0,0,0,0,0,0,,4000,31.47,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.553,1.458,0.044,0,0, ,0,0,0,-0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.546,1.451,0.051,0,0, ,0,0,0,0,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.568,1.473,0.044,0,0, ,0,0,0,-0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.568,1.473,0.037,0,0, ,0,0,0,-0.16,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.553,1.458,0.022,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.553,1.465,0.029,0,0, ,0,0,0,0,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.539,1.451,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.553,1.465,0.029,0,0, ,0,0,0,-0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.546,1.458,0.037,0,0, ,0,0,0,0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.561,1.568,1.473,0.015,0,0, ,0,0,0,0,0,0,,4000,31.47,4000,0,4000,0,4000,0,0,0,0,0
1.575,1.575,1.487,0.022,0,0, ,0,0,0,0,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.546,1.443,0.037,0,0, ,0,0,0,0.08,0,0,,4000,31.47,4000,0,4000,0,4000,0,0,0,0,0
1.561,1.575,1.48,0.029,0,0, ,0,0,0,-0.16,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.568,1.568,1.48,0.029,0,0, ,0,0,0,0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.546,1.451,0.037,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.568,1.48,0.029,0,0, ,0,0,0,-0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.575,1.568,1.48,0.022,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.561,1.546,1.451,0.037,0,0, ,0,0,0,-0.24,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.568,1.487,0.029,0,0, ,0,0,0,0,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.568,1.568,1.487,0.015,0,0, ,0,0,0,-0.16,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.561,1.458,0.029,0,0, ,0,0,0,-0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.546,1.443,0.029,0,0, ,0,0,0,0,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.546,1.451,0.029,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.561,1.458,0.044,0,0, ,0,0,0,-0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.561,1.451,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.561,1.561,1.458,0.022,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.561,1.465,0.044,0,0, ,0,0,0,-0.16,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.553,1.443,0.059,0,0, ,0,0,0,-0.08,0,0,,4000,31.47,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.539,1.451,0.044,0,0, ,0,0,0,0,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.553,1.473,0.037,0,0, ,0,0,0,-0.16,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.546,1.465,0.051,0,0, ,0,0,0,-0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.539,1.465,0.044,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.561,1.458,0.037,0,0, ,0,0,0,0,0,0,,4000,31.47,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.539,1.443,0.044,0,0, ,0,0,0,-0.16,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.553,1.458,0.044,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.561,1.465,0.044,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.546,1.443,0.051,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.561,1.451,0.044,0,0, ,0,0,0,-0.24,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.546,1.451,0.059,0,0, ,0,0,0,-0.16,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.553,1.451,0.059,0,0, ,0,0,0,-0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.561,1.465,0.059,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.546,1.451,0.029,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.531,1.436,0.059,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.546,1.436,0.059,0,0.007, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.546,1.443,0.051,0,0, ,0,0,0,-0.16,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.546,1.451,0.044,0,0, ,0,0,0,-0.24,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.561,1.561,1.465,0.051,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.546,1.451,0.051,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.546,1.436,0.059,0.007,0, ,0,0,0,0,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.553,1.443,0.029,0,0, ,0,0,0,-0.16,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.568,1.473,0.044,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.553,1.458,0.051,0,0, ,0,0,0,0,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.553,1.458,0.044,0,0, ,0,0,0,0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.553,1.458,0.037,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.553,1.458,0.044,0,0, ,0,0,0,0,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.517,1.561,1.458,0.051,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.561,1.568,1.473,0.037,0,0, ,0,0,0,0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.561,1.553,1.473,0.022,0,0, ,0,0,0,0,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.553,1.473,0.044,0,0, ,0,0,0,0.08,0,0,,4000,31.47,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.553,1.458,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.553,1.458,0.037,0,0, ,0,0,0,0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.561,1.465,0.029,0,0, ,0,0,0,0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.568,1.487,0.029,0,0, ,0,0,0,-0.16,0,0,,4000,31.47,4000,0,4000,0,4000,0,0,0,0,0
1.568,1.568,1.487,0.029,0,0, ,0,0,0,0,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.539,1.451,0.044,0,0, ,0,0,0,0.16,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.561,1.495,0.029,0,0, ,0,0,0,0,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.575,1.553,1.48,0.029,0,0, ,0,0,0,0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.546,1.458,0.051,0,0, ,0,0,0,0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.561,1.465,0.029,0,0, ,0,0,0,-0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.568,1.487,0.022,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.546,1.465,0.029,0,0, ,0,0,0,-0.16,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.561,1.553,1.487,0.029,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.568,1.561,1.48,0.029,0,0, ,0,0,0,0,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.546,1.458,0.029,0,0, ,0,0,0,0,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.517,1.531,1.421,0.022,0,0, ,0,0,0,-0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.546,1.443,0.022,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.553,1.443,0.029,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.546,1.443,0.015,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.553,1.443,0.022,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.553,1.443,0.029,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.531,1.429,0.044,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.517,1.524,1.421,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.546,1.436,0.037,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.531,1.429,0.044,0,0, ,0,0,0,-0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.539,1.451,0.037,0,0, ,0,0,0,0,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.539,1.436,0.029,0,0, ,0,0,0,-0.16,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.509,1.517,1.421,0.051,0,0, ,0,0,0,-0.16,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.502,1.509,1.414,0.044,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.539,1.443,0.044,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.509,1.524,1.421,0.044,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.509,1.524,1.436,0.044,0,0, ,0,0,0,-0.24,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.539,1.443,0.037,0,0, ,0,0,0,-0.16,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.502,1.539,1.429,0.051,0,0, ,0,0,0,-0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.502,1.546,1.414,0.051,0,0, ,0,0,0,-0.08,0,0,,4000,31.5,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.539,1.436,0.044,0,0, ,0,0,0,0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.502,1.531,1.421,0.059,0,0, ,0,0,0,-0.08,0,0,,4000,31.61,4000,0,4000,0,4000,0,0,0,0,0
1.502,1.531,1.421,0.059,0,0, ,0,0,0,0,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.531,1.429,0.029,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.531,1.436,0.051,0,0, ,0,0,0,0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.546,1.451,0.044,0,0, ,0,0,0,0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.524,1.429,0.051,0,0, ,0,0,0,0,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.517,1.524,1.429,0.044,0,0, ,0,0,0,0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.524,1.429,0.044,0,0, ,0,0,0,0,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.517,1.531,1.429,0.051,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.546,1.451,0.037,0,0, ,0,0,0,0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.539,1.443,0.051,0,0, ,0,0,0,-0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.517,1.531,1.436,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.509,1.531,1.458,0.051,0,0, ,0,0,0,0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.509,1.553,1.451,0.044,0,0, ,0,0,0,0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.531,1.436,0.044,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.531,1.451,0.037,0,0, ,0,0,0,0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.546,1.458,0.044,0,0, ,0,0,0,0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.546,1.451,0.037,0,0, ,0,0,0,0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.524,1.539,1.443,0.037,0,0, ,0,0,0,0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.502,1.539,1.451,0.037,0,0, ,0,0,0,0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.531,1.553,1.451,0.044,0,0, ,0,0,0,0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.568,1.48,0.022,0,0, ,0,0,0,0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.546,1.465,0.044,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.561,1.473,0.022,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.575,1.561,1.487,0.029,0,0, ,0,0,0,0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.539,1.443,0.037,0,0, ,0,0,0,0.16,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.561,1.473,0.029,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.568,1.575,1.495,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.561,1.553,1.465,0.044,0,0, ,0,0,0,-0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.568,1.553,1.487,0.007,0,0, ,0,0,0,-0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.568,1.553,1.48,0.022,0,0, ,0,0,0,-0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.553,1.443,0.029,0,0, ,0,0,0,0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.553,1.487,0.029,0,0, ,0,0,0,0.08,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.539,1.546,1.443,0.037,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.561,1.458,0.044,0,0, ,0,0,0,-0.16,0,0,,4000,31.54,4000,0,4000,0,4000,0,0,0,0,0
1.546,1.561,1.458,0.037,0,0, ,0,0,0,-0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
1.553,1.553,1.465,0.029,0,0, ,0,0,0,-0.08,0,0,,4000,31.58,4000,0,4000,0,4000,0,0,0,0,0
